Product name,Price,Ratings,No of Ratings,RAM,ROM,Display(cm),cameraQ(MP),Label
Tecno SPARK 6 AIR ,7720,4.3,890,2,32,17.78,13,0.790544648784872
Micromax X807,1475,4,4439,0.032,0.032,7.11,0,0.741782663563319
Redmi 9 Prime ,11600,4.3,4514,4,128,16.59,13,0.843730149610266
OPPO A52 ,16498,4.3,3171,6,128,16.51,12,0.754628479394554
Vivo Y30 ,13990,4.3,5082,4,128,16.43,13,0.61694253798445
Samsung Guru Music 2,0,0,0,0,0,0,0,-1
Apple iPhone XR ,49900,4.6,54615,0,128,15.49,12,0.656844458796752
Samsung Galaxy A70s ,17999,4.3,1988,6,128,17.02,64,0.763580700969549
Apple iPhone XR ,44900,4.6,54615,0,64,15.49,12,0.743052489880688
Vivo Y91i ,8490,4.3,6370,3,32,15.8,13,0.712760350387183
Micromax X744,1235,3.9,5667,0.032,0.032,6.1,0,0.633204404690729
Redmi Note 9 Pro ,19990,4.4,783,6,128,16.94,48,0.792032884182589
Redmi Note 9 Pro ,15287,4.3,6554,4,128,16.94,48,0.821049263833828
Samsung M01 core ,5099,4,2607,1,16,13.46,8,0.663267117735828
Karbonn KX3,815,3.9,2725,0.032,0.032,4.57,0,0.764441901583348
BlackZone RANGER,619,4.3,4,0.064,0.064,4.57,10,0.749299241222229
Vivo S1 Pro ,18990,4.4,22548,8,128,16.21,48,0.630106085656169
Vivo S1 Pro ,18990,4.4,22548,8,128,16.21,48,0.841260403935262
Micromax X744,1163,3.9,5667,0.032,0.032,6.1,0,0.687573064036295
Vivo Y20i ,11490,4.3,3305,3,64,16.54,13,0.703960859734258
BlackZone ECO X,1230,4,2032,0.032,0.032,4.5,0,0.808357998618767
Samsung Metro 313 Dual Sim,2340,4.3,10103,0.01,0.002,5.08,0,0.692026199251367
BlackZone B-310 GOLD,669,3.8,9,0.064,0.064,4.57,0,0.801199361886605
Samsung Guru 1200,0,0,0,0,0,0,0,-1
Redmi Note 9 ,15990,4.4,1407,6,128,16.59,48,0.763415076511328
Redmi 9 Prime ,10920,4.3,4514,4,64,16.59,13,0.68747534359899
Nokia 5310,0,0,0,0,0,0,0,-1
Apple iPhone XR ,44900,4.6,54615,0,64,15.49,12,0.755984956514468
BlackZone B-310 GOLD,669,3.8,9,0.064,0.064,4.57,0,0.643744227679936
Apple iPhone XR ,44900,4.6,54615,0,64,15.49,12,0.695954228773838
Micromax X378,870,3.9,3266,0.032,0.032,4.5,1,0.694415928355269
Samsung Galaxy M31 ,17990,4.3,4402,6,128,16.26,64,0.744424395053464
Micromax X412,854,3.9,7471,0.032,0.032,4.5,80,0.790852360419352
Micromax X378,899,3.9,3266,0.032,0.032,4.5,1,0.752862528960687
Karbonn Jumbo K9,1205,4,7711,0,0,6.6,1,0.831347488675495
Infinix Note 7 ,10999,4.3,7415,4,64,17.65,48,0.813417035812513
Infinix Note 7 ,10999,4.3,7415,4,64,17.65,48,0.841904855874027
Redmi 9A ,7877,4.2,1418,3,32,16.59,13,0.746329837570377
Redmi 9A ,8035,4.2,1418,3,32,16.59,13,0.639157419146722
Samsung M31 Prime ,17990,4.2,60,6,128,16.26,64,0.616516676995899
Lava Gem,0,0,0,0,0,0,0,-1
Karbonn K140 Pop,784,3.9,2987,0.032,0.032,4.57,0,0.629810819037997
Karbonn K140 Pop,810,3.9,2987,0.032,0.032,4.57,0,0.767338808670615
Realme 6 ,16999,4.4,45570,8,128,16.51,64,0.773403190969452
Vivo V20 ,27990,4.3,12809,8,256,16.36,64,0.830103364144957
BlackZone ECO X,1230,4,2032,0.032,0.032,4.5,0,0.838751016737585
Redmi 8A Dual ,8697,4.2,9523,3,32,15.8,13,0.663029082664872
Redmi Note 9 ,14450,4.3,9390,4,128,16.59,48,0.687569750273344
Redmi Note 9 ,12379,4.3,9390,4,64,16.59,48,0.618345550693227
Nokia 216/216 DS,0,0,0,0,0,0,0,-1
Vivo Y12 ,10990,4.3,25990,3,64,16.13,13,0.713003029480056
Vivo Y12 ,10990,4.3,25990,3,64,16.13,13,0.819231014315805
Vivo Y12 ,10990,4.3,25990,3,64,16.13,13,0.644805788848578
Redmi 8A Dual ,8789,4.2,9523,3,64,15.8,13,0.81559056109036
Nokia 150 DS 2020,0,0,0,0,0,0,0,-1
Redmi 9A ,7371,4.3,3585,2,32,16.59,13,0.644520586420754
Samsung M31 Prime ,17480,4.2,60,6,128,16.26,64,0.738750141851549
BlackZone ECO X,1230,4,2032,0.032,0.032,4.5,0,0.807618145572895
Karbonn KX26,999,4,1003,0.032,0.032,6.1,0,0.75424551000762
Karbonn KX3,799,3.9,2725,0.032,0.032,4.57,0,0.835967922854201
Lava A1,0,0,0,0,0,0,0,-1
I Kall K800 ,3999,3.4,227,2,16,13.97,5,0.629205560719121
Apple iPhone XR ,49900,4.6,54615,0,128,15.49,12,0.73782024539435
Lava Hero 600+,0,0,0,0,0,0,0,-1
Lava Hero 600+,0,0,0,0,0,0,0,-1
